voc,nC,Type,Subtype,cf,is_interpolated
ethane,2,Alkane,Straight,0,FALSE
propane,3,Alkane,Straight,0,FALSE
n-butane,4,Alkane,Straight,67,FALSE
isobutane,4,Alkane,Branched,100,FALSE
n-pentane,5,Alkane,Straight,9,FALSE
isopentane,5,Alkane,Branched,8.2,FALSE
n-hexane,6,Alkane,Straight,5.1,FALSE
1-hexene,6,Alkene,Straight,0.8,FALSE
ethylene,2,Alkene,Straight,9,FALSE
acetylene,2,Alkyne,Straight,0,FALSE
2-methyl-pentane,6,Alkane,Straight,5.1,TRUE
3-methyl-pentane,6,Alkane,Straight,5.1,TRUE
toluene,7,Aromatic,NA,0.45,FALSE
methyl-cyclopentane,6,Alkane,Cyclic,1.4,TRUE
n-heptane,7,Alkane,Straight,2.8,FALSE
trans-2-butene,4,Alkene,Straight,0.6,TRUE
methyl-cyclohexane,7,Alkane,Cyclic,0.97,FALSE
3-methyl-hexane,7,Alkane,Branched,0.97,TRUE
benzene,6,Aromatic,NA,0.47,FALSE
cyclohexane,6,Alkane,Cyclic,1.4,FALSE
2-methyl-hexane,7,Alkane,Branched,0.97,TRUE
cyclopentane,5,Alkane,Cyclic,15,FALSE
"m,p-xylene",8,Aromatic,NA,0.42,FALSE
propylene,3,Alkene,Straight,1.4,FALSE
n-octane,8,Alkane,Straight,1.8,FALSE
"2,2-dimethyl-butane",6,Alkane,Branched,1.4,TRUE
n-decane,10,Alkane,Straight,1.4,FALSE
2-methyl-heptane,8,Alkane,Branched,1.2,TRUE
n-nonane,9,Alkane,Straight,1.4,FALSE
"2,4-dimethyl-pentane",7,Alkane,Branched,0.97,TRUE
n-undecane,11,Alkane,Straight,2,FALSE
trans-2-pentene,5,Alkene,Straight,0.63,TRUE
"2,2,4-trimethyl-pentane",8,Alkane,Branched,1.2,FALSE
3-methyl-heptane,8,Alkane,Branched,1.2,TRUE
1-butene,4,Alkene,Straight,0.6,TRUE
"2,3-dimethyl-butane",6,Alkane,Branched,1.4,TRUE
"2,3-dimethyl-pentane",7,Alkane,Branched,0.97,TRUE
isoprene,5,Alkene,Branched,0.63,FALSE
o-xylene,8,Aromatic,NA,0.45,FALSE
m-diethyl-benzene,10,Aromatic,NA,0.44642857142857145,TRUE
styrene,8,Aromatic,NA,0.43,FALSE
m-ethyl-toluene,9,Aromatic,NA,0.445,TRUE
"2,3,4-trimethyl-pentane",8,Alkane,Branched,1.2,TRUE
ethyl-benzene,8,Aromatic,NA,0.47,FALSE
n-dodecane,12,Alkane,Straight,2,TRUE
1-pentene,5,Alkene,Straight,0.63,TRUE
"1,2,4-trimethyl-benzene",9,Aromatic,NA,0.445,TRUE
cis-2-pentene,5,Alkene,Straight,0.63,TRUE
"1,2,3-trimethyl-benzene",9,Aromatic,NA,0.445,TRUE
"1,3,5-trimethyl-benzene",9,Aromatic,NA,0.35,FALSE
n-propyl-benzene,9,Aromatic,NA,0.445,TRUE
"1,3-butadiene",4,Alkene,Straight,0.6,FALSE
o-ethyl-toluene,9,Aromatic,NA,0.445,TRUE
cis-2-butene,4,Alkene,Straight,0.6,TRUE
p-ethyl-toluene,9,Aromatic,NA,0.445,TRUE
p-diethyl-benzene,10,Aromatic,NA,0.44642857142857145,TRUE
a-pinene,10,Alkene,Cyclic,0.63,TRUE
isopropyl-benzene,9,Aromatic,NA,0.54,FALSE
